I, [2017-05-25T22:06:32.312862 #31638]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-05-25T22:06:32.313216 #31638] ERROR -- Kitchen: ------Exception-------
E, [2017-05-25T22:06:32.313239 #31638] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-05-25T22:06:32.313252 #31638] ERROR -- Kitchen: Message: Kitchen YAML file /Users/gkeskar/learn-chef/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2017-05-25T22:06:32.313263 #31638] ERROR -- Kitchen: ----------------------
E, [2017-05-25T22:06:32.313272 #31638] ERROR -- Kitchen: ------Backtrace-------
E, [2017-05-25T22:06:32.313281 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-05-25T22:06:32.313291 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-05-25T22:06:32.313300 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-05-25T22:06:32.313309 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-05-25T22:06:32.313318 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-05-25T22:06:32.313327 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-05-25T22:06:32.313336 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-05-25T22:06:32.313345 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-05-25T22:06:32.313354 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-05-25T22:06:32.313380 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-05-25T22:06:32.313389 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-05-25T22:06:32.313398 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-05-25T22:06:32.313409 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-05-25T22:06:32.313419 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-05-25T22:06:32.313441 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-05-25T22:06:32.313449 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-05-25T22:06:32.313458 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-05-25T22:06:32.313466 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-05-25T22:06:32.313475 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-05-25T22:06:32.313483 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-05-25T22:06:32.313499 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-05-25T22:06:32.313509 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/bin/kitchen:23:in `load'
E, [2017-05-25T22:06:32.313518 #31638] ERROR -- Kitchen: /Users/gkeskar/.rbenv/versions/2.3.1/bin/kitchen:23:in `<main>'
E, [2017-05-25T22:06:32.313526 #31638] ERROR -- Kitchen: ----End Backtrace-----
